Name,Location,Year,Combustible,Kilometers,Transmission,Power [CV],Price [€],Financed Price,Dealer,Dealer Rating (over 5)
MERCEDES-BENZ Clase A 180CDI,Alicante,2012, Diésel,119.850,Manual,109,7.700,Sin financiación,n/a,n/a
HYUNDAI ix20 1.4 MPI BD Tecno 90,Barcelona,2016, Gasolina,64.000,Manual,90,10.890,Con financiación,n/a,n/a
RENAULT Captur TCe Energy Zen 66kW,Barcelona,2018, Gasolina,60.500,Manual,90,12.700,Con financiación,n/a,n/a
CHRYSLER Voyager GRAND 2.8 CRD LIMITED,Guipúzcoa,2010, Diésel,167.546,Automático,163,13.900,Sin financiación,COCAR EXPOCASION Servicio Oficial,"3,0"
MERCEDES-BENZ Clase CLA 220d 7G-DCT 177,Barcelona,2015, Diésel,70.000,Automático,177,24.990,Con financiación,GESTIONCAR Girona,"2,5"
AUDI Q8 RS TFSI quattro tiptronic ABT Power S,Barcelona,2021, Gasolina,10,Automático,740,285.900,Con financiación,DRIVER CARS BCN,"5,0"
AUDI A3 Sportback 2.0TDI S Line Edition 110kW,Barcelona,2016, Diésel,86.000,Manual,150,18.000,Con financiación,ÉLITE MATARÓ,"0,0"
MERCEDES-BENZ Clase E Cabrio 400 4Matic 9G-Tronic,Ciudad Real,2018, Gasolina,42.000,Automático,333,55.900,Sin financiación,AUTOSOL AUTOMOCIÓN,"4,5"
FORD Focus FAMILIAR 1.0 ECOBOOST 125CV TREND+,Madrid,2017, Gasolina,78.702,Manual,125,9.900,Con financiación,PEUGEOT MABUSA,"4,0"
OPEL Insignia ST 1.6 CDTi 100kW Turbo D Innovation,Zaragoza,2020, Diésel,4.650,Manual,136,22.340,Con financiación,n/a,n/a
TOYOTA C-HR 125H Advance,Granada,2018, Híbrido,84.884,Automático,122,18.495,Con financiación,n/a,n/a
SEAT Ateca 1.6TDI CR S&S Ecomotive Style,Castellón,2019, Diésel,98.000,Manual,115,19.000,Con financiación,n/a,n/a
AUDI A5 Sportback 2.0TDI Sport S tronic 140kW,Barcelona,2019, Diésel,30.730,Automático,190,40.500,Con financiación,METAUTO MOTOR,"4,0"
LEXUS RX 450h Executive,Murcia,2021, Híbrido,1.925,Automático,313,70.900,Con financiación,n/a,n/a
HYUNDAI i20 1.0 TGDI 74KW TECNO LE 100 5P,Asturias,2018, Gasolina,31.522,Manual,100,11.990,Con financiación,HYUNDAI ASTURDAI,"3,0"
AUDI A5 2.0 35 TDI S TRON B.LINE SPORTBACK 163 5P,Murcia,2020, Diésel,7.493,Automático,163,43.200,Con financiación,AUDI HUERTAS MOTOR CARTAGENA,"5,0"
BMW Serie 1 118d Sport,Barcelona,2013, Diésel,68.000,Manual,143,15.500,Sin financiación,PARC PAT,"4,0"
VOLVO XC90 3.2 Summum Geartronic,Barcelona,2007, Gasolina,143.000,Automático,238,15.800,Sin financiación,PARC PAT,"4,0"
SEAT Ateca 1.4 EcoTSI S&S Style,Barcelona,2017, Gasolina,46.900,Manual,150,20.090,Con financiación,"TAES MOTOR, S.A., concesionario oficial Seat","2,5"
AUDI A3 1.6 30 TDI ALL-IN SPORTBACK 116 5P,Murcia,2020, Diésel,10,Manual,116,27.000,Sin financiación,n/a,n/a
AUDI A1 1.0 TFSI ADRENALIN SPORTBACK 95 5P,Murcia,2018, Gasolina,38.315,Manual,95,16.300,Con financiación,n/a,n/a
LAND-ROVER Range Rover Evoque 2.0 P200 R-DYNAMIC SE AUTO 4WD 200 5P,Islas Baleares,2019, Gasolina,27.530,Automático,200,42.950,Sin financiación,n/a,n/a
BMW Serie 1 118D 150 STEPTRONIC m sport,Málaga,2020, Diésel,12.194,Automático,140,29.937,Con financiación,n/a,n/a
SKODA Scala 1.0 TSI 85KW STYLE 5P,Barcelona,2019, Gasolina,27.500,Manual,115,16.400,Con financiación,n/a,n/a
VOLVO XC60 2.0 T6 RECHARGE INSCRIPTION EXP AUTO 340 5P,Palencia,2021, Híbrido,5,Automático,340,44.700,Con financiación,PALAUSA Palencia,"0,0"
VOLVO XC60 D3 Kinetic 150,Valencia,2016, Diésel,91.000,Manual,150,19.400,Con financiación,ORLANDO CARS,"4,5"
AUDI Q8 50 TDI quattro tiptronic,Murcia,2019, Diésel,95.000,Automático,286,61.900,Con financiación,n/a,n/a
RENAULT Captur TCe GPF Zen 96kW,Madrid,2019, Gasolina,96.000,Manual,130,11.561,Con financiación,ALFONSO COPE,"0,0"
SEAT Ateca 1.0 TSI S&S Ecomotive Reference,Madrid,2020, Gasolina,66.000,Manual,115,16.520,Con financiación,ALFONSO COPE,"0,0"
FORD Focus 1.5TDCi Titanium PS 120,Valencia,2017, Diésel,116.172,Automático,120,9.700,Con financiación,n/a,n/a
HYUNDAI i30 1.6CRDi Tecno 116,Barcelona,2019, Diésel,68.886,Manual,116,17.300,Sin financiación,CarNext.com Barcelona,"3,0"
AUDI A4 2.0TDI S line edition 110kW,Pontevedra,2017, Diésel,66.607,Manual,150,21.500,Con financiación,TALLERES HERMINDO,"3,5"
SEAT León 1.6TDI CR S&S Reference Plus 115,Pontevedra,2017, Diésel,121.000,Manual,115,12.990,Con financiación,n/a,n/a
FORD Kuga 2.0TDCI Trend 4WD,Alicante,2011, Diésel,160.589,Manual,140,9.850,Sin financiación,Automoviles Guardamar vehículos Multimarca,"5,0"
VOLKSWAGEN Golf 2.0 TSI GTI DSG,Vizcaya,2011, Gasolina,181.000,Automático,210,3,Sin financiación,n/a,n/a
LEXUS RX 450h Executive,Murcia,2021, Híbrido,1.925,Automático,313,70.900,Con financiación,n/a,n/a
VOLKSWAGEN Polo 1.0 Edition 59kW,Málaga,2019, Gasolina,57.000,Manual,80,12.500,Sin financiación,MARTINSA MOTOR,"4,5"
HYUNDAI i30 1.6CRDi Tecno 116,Barcelona,2019, Diésel,68.886,Manual,116,17.300,Sin financiación,CarNext.com Barcelona,"3,0"
